Date,Sales
2025-03-01,10.0
2025-03-02,20.0
2025-03-03,3.0
2025-03-04,3.0
2025-03-05,4.0
2025-03-06,2.0
2025-03-07,3.0
2025-03-08,32.0
2025-03-09,32.0
2025-03-10,3.0
2025-03-11,4.0
2025-03-12,2.0
2025-03-13,4.0
2025-03-14,5.0
2025-03-15,2.0
2025-03-16,4.0
2025-03-17,3.0
2025-03-18,5.0
2025-03-19,3.0
2025-03-20,2.0
2025-03-21,4.0
2025-03-22,2.0
2025-03-23,4.0
2025-03-24,3.0
2025-03-25,2.0
2025-03-26,4.0
2025-03-27,3.0
2025-03-28,2.0
2025-03-29,3.0
2025-03-30,4.0
2025-03-31,3.0
